STT;SACH;BAI;CHUDE;MUCDO;CAUHOI;CAUTRALOI;DAPAN;MA_YCCD;NOIDUNG_YCCD
615;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Thông hiểu;"Hoàn thành câu lệnh sau để in ra chiều dài của xâu x = ""Hello World"" print(…)"; x. len().~len(x).~copy(x).~x. length().;len(x).;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
616;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Thông hiểu;"Lệnh sau trả lại giá trị gì? ""Trường Sơn"".find(""Sơn"",4)";5.~6.~7.~8.; 7.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
617;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Nhận biết;Điền đáp án đúng vào chỗ chấm (…) hoàn thành phát biểu đúng sau “Python có các … để xử lí xâu là … dùng để tách câu thành một danh sách và lệnh join() dùng để … các xâu thành một xâu”.; câu lệnh, split(), nối.~câu lệnh đặc biệt, split(), tách xâu.~câu lệnh đặc biệt, copy(), nối danh sách.~câu lệnh đặc biệt, split(), nối danh sách.;câu lệnh đặc biệt, split(), nối danh sách.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
618;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Nhận biết;Muốn nối danh sách gồm các từ thành một xâu ta dùng lệnh nào?;Lệnh join().~Lệnh split().~Lệnh len().~Lệnh find().;Lệnh join().;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
619;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Thông hiểu;"Kết quả của các câu lệnh sau là gì? s = ""1 34 56 ab cd de "" print(s. find("" "")) print(s.find(""1 "")) print(s. find(""34""))"; 2, 0, 3.~2, 1, 3.~3, 5, 2.~1, 4, 5.;2, 0, 3.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
620;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Nhận biết;Để tạo xâu in thường từ toàn bộ xâu hiện tại ta dùng hàm gì?;lower().~len().~upper().~str().;lower().;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
621;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Vận dụng;"Chương trình sau cho ra kết quả là gì?
greeting = 'Good '
time = 'Afternoon'
greeting = greeting + time + '!'
print(greeting)"; ‘GoodAfternoon’.~‘Good Afternoon!’.~Chương trình báo lỗi.~‘Good Afternoon !’.;‘Good Afternoon!’;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
622;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Thông hiểu;"Kết quả của chương trình sau là gì? 
a = ""Hello""
b = ""world""
c = a + "" "" + b
print(c)";Hello world '~'Hello World'~'Hello world'~'Helloworld';Hello world';F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
623;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Thông hiểu;"Lệnh sau trả lại giá trị gì? ""Trường Sơn"".find(""Sơn"",8)";5.~6.~7.~-1.; -1.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
624;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Thông hiểu;"Kết quả của chương trình sau là gì? 
line = ""Geek Geek Geek3"" 
print(line.split()) 
print(line.split(\ \, 1))";""" Geek1~Geek2~Geek3 "", "" Geek1~Geek2~Geek3 "", "" Geek1 Geek2~Geek3 "", "" Geek1 Geek2~Geek3 """;""" Geek1~Geek2~Geek3""";F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
625;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Thông hiểu;Phát biểu nào sau đây là đúng khi nói về các phương thức trong python?; Python có một lệnh đặc biệt dành riêng cho xâu kí tự.~Cú pháp của lệnh find là: <xâu mẹ>. Find(<xâu con>).~Lệnh find sẽ tìm vị trí đầu tiên của xâu con trong xâu mẹ.~Câu lệnh find có một cú pháp duy nhất.;Lệnh find sẽ tìm vị trí đầu tiên của xâu con trong xâu mẹ.;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
626;Kết nối tri thức;Một số lệnh làm việc với xâu kí tự;F;Thông hiểu;Để tạo xâu in hoa từ toàn bộ xâu hiện tại ta dùng hàm nào?;lower().~len().~upper().~srt().; upper().;F2~F3~F6;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~Viết và thực hiện được theo hướng dẫn hoặc theo mẫu chương trình giải quyết bài toán đơn giản.~~~~
627;Kết nối tri thức;Hàm trong Python;F;Nhận biết;"Kết quả của chương trình sau là: 
def Kieu(Number): 
      return type(Number); 
print(Kieu (5.0))"; 5.~float.~Chương trình bị lỗi.~int.;float.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
628;Kết nối tri thức;Hàm trong Python;F;Thông hiểu;Phát biểu nào sau đây là đúng khi nói về thân hàm trong Python?;Phần thân hàm là dãy các câu lệnh được viết thụt lề so với dòng đầu của định nghĩa hàm.~Phần thân hàm là dãy các câu lệnh được viết thẳng lề so với dòng đầu của định nghĩa hàm.~Phần thân hàm là dãy các câu lệnh được viết hoa ở đầu dòng.~Phần thân hàm là dãy các câu lệnh được hoa và thẳng hàng so với dòng đầu của định nghĩa hàm.;Phần thân hàm là dãy các câu lệnh được viết thụt lề so với dòng đầu của định nghĩa hàm.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
629;Kết nối tri thức;Hàm trong Python;F;Thông hiểu;"Kết quả của chương trình sau là: 
def PhepNhan(Number): 
      return Number * 10;
print(PhepNhan(5))"; 5.~10.~Chương trình bị lỗi.~50.;50.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
630;Kết nối tri thức;Hàm trong Python;F;Thông hiểu;"Kết quả của chương trình sau: 
def my_function(x): 
      return * x 
print(my_function(3)) 
print(my_function(5)) 
print(my_function(9))"; 3, 5, 9.~9, 15, 27.~9, 5, 27.~Chương trình bị lỗi.;9, 15, 27.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
631;Kết nối tri thức;Hàm trong Python;F;Nhận biết;"Hàm sau có chức năng gì? 
def sum(a, b): 
      print(""sum = "" + str(a + b))"; Trả về tổng của hai số a và b được truyền vào.~Trả về hai giá trị a và~Tính tổng hai số a và~Tính tổng hai số a và b và hiển thị ra màn hình.;Tính tổng hai số a và b và hiển thị ra màn hình.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
632;Kết nối tri thức;Hàm trong Python;F;Thông hiểu;"Chương trình sau bị lỗi ở dòng lệnh thứ bao nhiêu? 
def add(a, b) sum = a + b 
      return sum 
x = int(input(""Nhập số thứ nhất:"")) 
y = int(input(""Nhập số thứ hai:"")) 
tong = add(x, y) 
print(""Tổng là: "" + str(tong))"; 1.~2.~3.~4.;1.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
633;Kết nối tri thức;Hàm trong Python;F;Thông hiểu;Số phát biểuđúngtrong số phát biểu sau 1) Python cung cấp sẵn nhiều hàm thực hiện những công việc khác nhau cho người dùng tuỳ ý sử dụng. ) Lệnh float() chuyển đối tượng đã cho thành kiểu số thực. 3) Lệnh int trả về số nguyên từ số hoặc chuỗi biểu thức. 4) Trong python, người dùng chỉ được sử dụng các hàm có sẵn được xây dựng. 5) Người dùng có thể xây dựng thêm một số hàm mới.; 1.~2.~3.~4.;4.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
634;Kết nối tri thức;Hàm trong Python;F;Thông hiểu;Cuối dòng đầu tiên của định nghĩa hàm phải có dấu gì?;"Dấu ‘:’.~Dấu ‘;’.~Dấu ‘.’.~Dấu ‘,’.";Dấu ‘:’.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
635;Kết nối tri thức;Hàm trong Python;F;Thông hiểu;"Chương trình sau cho kết quả là bao nhiêu? def chao(ten): """"""Hàm này dùng để chào một người được truyền vào như một tham số"""""" print(""Xin chào, "" + ten + ""!"") chao(‘Xuan’)"; “Xin chào”.~“Xin chào, Xuan!”.~“Xin chào!”.~Câu lệnh bị lỗi.;“Xin chào, Xuan!”.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
636;Kết nối tri thức;Hàm trong Python;F;Vận dụng;Đâu là hàm trong Python?;str().~int().~len().~Tất cả đều đúng.; Tất cả đều đúng.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
637;Kết nối tri thức;Hàm trong Python;F;Vận dụng;Chương trình sau bị lỗi ở dòng lệnh thứ bao nhiêu? def add(a, b): x = a + b return(x) add(1, ) add(5, 6); 2.~3.~1.~Không bị lỗi.;Không bị lỗi.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
638;Kết nối tri thức;Hàm trong Python;F;Nhận biết;Điền vào (…) để tìm ra số lớn nhất trong số nhập vào: def find_max(a, b, c): max = a if (…): max = b if (…): max = c return max; max < b, max <~max <= b, max <~max < b, max <=~max <= b, max <= ;max < b, max < ;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
639;Kết nối tri thức;Hàm trong Python;F;Vận dụng;Hoàn thành chương trình tính tổng một mảng sau: n = (…)(input()) lst = [] for i in range(n): lst.append(int(input())) answer = (…) for v in lst: answer *= v print(answer); float, 1.~int, 0.~int, 1.~float, 0.;int, 1.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
640;Kết nối tri thức;Hàm trong Python;F;Nhận biết;"Chương trình sau hiển thị kết quả như thế nào? def ham(): print(country) ham(""Sweden"") ham(""India"") ham(""Brazil"")"; Sweden, India, Brazil.~Sweden, Brazil, Indi~Sweden, Brazil.~Chương trình bị lỗi.;Chương trình bị lỗi.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
641;Kết nối tri thức;Hàm trong Python;F;Thông hiểu;Chọn phát biểusaitrong các phát biểu sau; Lệnh print() thực hiện việc in ra màn hình.~Lệnh input() thực hiện yêu cầu nhập vào một biểu thức, số hay một xâu bất kì.~Lệnh type() trả lại kiểu dữ liệu của biểu thức trong ngoặ~Lệnh str() chuyển đối tượng đã cho thành chuỗi.;Lệnh input() thực hiện yêu cầu nhập vào một biểu thức, số hay một xâu bất kì.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
642;Kết nối tri thức;Hàm trong Python;F;Vận dụng;Hàm nào được dùng để tạo xâu in hoa từ toàn bộ xâu hiện tại?;lower().~len().~upper().~srt().; upper().;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
643;Kết nối tri thức;Hàm trong Python;F;Vận dụng;Chương trình sau ra kết quả bao nhiêu? def get_sum(num): tmp = 0 for i in num: tmp += i return tmp result = get_sum(1, , 3, 4, 5) print(result); 12.~13.~14.~15.;15.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
644;Kết nối tri thức;Hàm trong Python;F;Thông hiểu;Kiểu tham số bất biến gồm các kiểu nào?;Số nguyên, số thực, chuỗi và bộ (tuble).~Danh sách (list), tập hợp (set), từ điển (dict).~Số nguyên, tập hợp (set), từ điển (dict).~Số thực, danh sách (list).;Số nguyên, số thực, chuỗi và bộ (tuble).;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
645;Kết nối tri thức;Hàm trong Python;F;Nhận biết;Phát biểuđúngtrong các phát biểu sau là:; Lệnh float() trả về số nguyên từ số hoặc chuỗi biểu thứ~Có ít hàm có sẵn được xây dựng trong python.~Lệnh bool() chuyển một giá trị sang Boolean.~Lệnh input() có thể nhập vào một số nguyên mà không cần chuyển đổi kiểu.;Lệnh bool() chuyển một giá trị sang Boolean.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
646;Kết nối tri thức;Hàm trong Python;F;Thông hiểu;Kiểu tham số khả biến gồm các kiểu gì?;Số nguyên, số thực, chuỗi và bộ (tuble).~Danh sách (list), tập hợp (set), từ điển (dict).~Số nguyên, tập hợp (set), từ điển (dict).~Số thực, danh sách (list).; Danh sách (list), tập hợp (set), từ điển (dict).;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
647;Kết nối tri thức;Hàm trong Python;F;Vận dụng;"Chương trình sau bị lỗi ở dòng lệnh thứ bao nhiêu? a = ""Hello Guy!"" def say(i): return a + i say(3) print(a)"; 4.~2.~3.~Không có dòng lệnh bị lỗi.;3.;F2;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~~~~~~
648;Kết nối tri thức;Tham số của hàm;F;Nhận biết;Khi gọi hàm f(1, , 3), khi định nghĩa hàm f có bao nhiêu tham số?; 1.~2.~3.~4.;3.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
649;Kết nối tri thức;Tham số của hàm;F;Nhận biết;Phát biểu nào sau đây là đúng khi nói về chương trình con?;Chương trình con là một lệnh mô tả một thao tác nhất định và có thể được thực hiện (được gọi) từ nhiều vị trí trong chương trình.~Chương trình con là một dãy lệnh mô tả một số thao tác nhất định và được thực hiện (được gọi) từ 1 vị trí trong chương trình.~Chương trình con là một dãy lệnh mô tả một số thao tác nhất định và không thể thực hiện từ nhiều vị trí trong chương trình.~Chương trình con là một dãy lệnh mô tả một số thao tác nhất định và có thể được thực hiện (được gọi) từ nhiều vị trí trong chương. trình; Chương trình con là một dãy lệnh mô tả một số thao tác nhất định và có thể được thực hiện (được gọi) từ nhiều vị trí trong chương. trình;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
650;Kết nối tri thức;Tham số của hàm;F;Nhận biết;Khi gọi hàm, dữ liệu được truyền vào hàm được gọi là gì?;Tham số.~Hiệu số.~Đối số.~Hàm số.; Đối số.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
651;Kết nối tri thức;Tham số của hàm;F;Thông hiểu;Chương trình sau bị lỗi ở dòng thứ bao nhiêu ? def tinh(a, b): if(b != 0): return a // b s = tinh(1, m) print(s); 2.~3.~4.~5.;4.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
652;Kết nối tri thức;Tham số của hàm;F;Thông hiểu;Giả sử hàm f có hai tham số khi khai báo. Khi gọi hàm, giá trị đối số nào truyền vào sẽ gây lỗi?; 2, 3.~10,~“a”, “b”.~“a”, “3”.;10;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
653;Kết nối tri thức;Tham số của hàm;F;Nhận biết;Khẳng định nào sau đây là đúng về chương trình con?;Cả thủ tục và hàm đều có thể có tham số hình thứ~Chỉ có thủ tục mới có thể có tham số hình thứ~Chỉ có hàm mới có thể có tham số hình thứ~Thủ tục và hàm nào cũng phải có tham số hình thứ ;Cả thủ tục và hàm đều có thể có tham số hình thứ;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
654;Kết nối tri thức;Tham số của hàm;F;Nhận biết;Giá trị của x là bao nhiêu sau biết kết quả là def tinh(a, b, c): if(b != 0): return a // b + c* s = tinh(1, 5, x) print(s); 3.~2.~1.~4.;4.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
655;Kết nối tri thức;Tham số của hàm;F;Thông hiểu;Các tham số của f có kiểu dữ liệu gì nếu hàm f được gọi như sau: f( ‘5.0’); str.~float.~int.~Không xác định.;str.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
656;Kết nối tri thức;Tham số của hàm;F;Thông hiểu;Cho đoạn chương trình sau: def h(a1,b1): s=a1-b return s a,b=map(int,input().split()) t=h(a,b) print(t) Trong đoạn chương trình trên s được gọi là;Tên hàm.~Tham số hình thứ~Tham số thực sự.~Biến cục bộ.; Biến cục bộ.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
657;Kết nối tri thức;Tham số của hàm;F;Nhận biết;Hoàn thiện chương trình sau: def USCLN_ (a, b): r = a % b while r != 0: a = b b = r r = a % b return (…);~~r.~Chương trình bị lỗi.;;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
658;Kết nối tri thức;Tham số của hàm;F;Vận dụng;Trong câu gọi hàm sin(90), thì giá trị 90 là gì?;Biến toàn cụ~Tham số hình thứ~Tham số thực sự.~Biến cục bộ.; Tham số thực sự.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
659;Kết nối tri thức;Tham số của hàm;F;Thông hiểu;Chọn phát biểuđúngtrong các phát biểu sau; Lời gọi hàm không có lỗi nếu tham số được truyền chưa có giá trị.~Số lượng giá trị được truyền vào hàm bằng số tham số trong khai báo của hàm.~Tham số là giá trị được truyền vào khi gọi hàm.~Cả 3 phát biểu trên đều đúng.;Số lượng giá trị được truyền vào hàm bằng số tham số trong khai báo của hàm.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
660;Kết nối tri thức;Tham số của hàm;F;Thông hiểu;Đoạn chương trình sau sẽ in ra số nào? >>> def f(x,y): z = x + y return x*y*z >>> f(1,4);10.~18.~20.~30.; 20.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
661;Kết nối tri thức;Tham số của hàm;F;Vận dụng;Đâu là ưu điểm của chương trình con?;Cấu trúc rõ ràng.~Dễ hiểu hơn.~Cả phương án A và C đều đúng.~Cả phương án A và C đều sai.; Cả phương án A và C đều đúng.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
662;Kết nối tri thức;Tham số của hàm;F;Nhận biết;Giá trị của m là bao nhiêu sau biết kết quả là def tinhSum(a, b): return a + b s = tinhSum(1, m) print(s); 1.~4.~2.~3.;4.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
663;Kết nối tri thức;Tham số của hàm;F;Nhận biết;Phát biểu nào bịsai?; Một hàm khi khai báo có một tham số nhưng khi gọi hàm có thể có 2 đối số.~Tham số được định nghĩa khi khai báo hàm.~Tham số và đối số có một số điểm khác nhau.~Khi gọi hàm, các tham số sẽ được truyền bằng giá trị thông qua đối số của hàm.;Một hàm khi khai báo có một tham số nhưng khi gọi hàm có thể có 2 đối số.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
664;Kết nối tri thức;Tham số của hàm;F;Thông hiểu;Khẳng định nào sau đây là đúng khi nói về print()?;Hàm thực hiện một số thao tác nhất định và trả về 1 giá trị nào đó.~Không phải là hàm.~Không phải là hàm nhưng trả về 1 giá trị nào đó.~Hàm thực hiện một số thao tác nhất định nhưng không trả về giá trị nào.; Hàm thực hiện một số thao tác nhất định nhưng không trả về giá trị nào.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
665;Kết nối tri thức;Tham số của hàm;F;Nhận biết;Hàm f được khai báo như sau f(a, b, c). Số lượng đối số truyền vào là; 3.~2.~1.~4.;3.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
666;Kết nối tri thức;Tham số của hàm;F;Thông hiểu;"Câu Hoàn thiện chương trình tìm UCLN của hai số? def USCLN_1(a, b): if (…): return a return USCLN_1(b, a % b) a = input(Nhap vao so nguyen duong a = ) b = int(input(Nhao vao so nguyen duong b = )) print(USCLN_1(a, b)) ""]"; a >~a >~a == 1.~b == 0.;b == 0.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
667;Kết nối tri thức;Tham số của hàm;F;Nhận biết;Hoàn thành chương trình kiểm tra một số có là số nguyên tố không: def prime(n): c = 0 k = while(k<n): if n%k == 0: c = c + k = k+ if c == return (…) else: return (…); True, False.~True, True.~False, False.~False, True.;True, False.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
668;Kết nối tri thức;Tham số của hàm;F;Nhận biết;Khi khai báo hàm, thành phần nào được định nghĩa và được dùng như biến trong hàm?; Tham số.~Đối số.~Dữ liệu.~Giá trị.;Tham số.;F2~F3;Viết được chương trình có sử dụng chương trình con trong thư viện chuẩn.~Viết được chương trình con biểu diễn một thuật toán đơn giản và viết được chương trình có sử dụng chương trình con này.~~~~~
669;Kết nối tri thức;Phạm vi của biến;F;Thông hiểu;Kết quả của chương trình sau là bao nhiêu? >>>def f(a,b): return a + b + N >>> N = 5 >>>f(3, 3); 5.~6.~11.~Chương trình bị lỗi.;11.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
670;Kết nối tri thức;Phạm vi của biến;F;Vận dụng;Kiểu tham số bất biến gồm các kiểu nào?;Số nguyên, số thực, chuỗi và bộ (tuble).~Danh sách (list), tập hợp (set), từ điển (dict).~Số nguyên, tập hợp (set), từ điển (dict).~Số thực, danh sách (list).;Số nguyên, số thực, chuỗi và bộ (tuble).;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
671;Kết nối tri thức;Phạm vi của biến;F;Vận dụng;Hoàn thiện (…) trong phát biểu sau “Trong Python tất cả các biến khai báo bên trong hàm đều có tính …, không có hiệu lực ở bên … hàm”; địa phương, trong.~cục bộ, ngoài.~địa phương, ngoài.~toàn cục, ngoài.;cục bộ, ngoài.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
672;Kết nối tri thức;Phạm vi của biến;F;Thông hiểu;Nếu biến bên ngoài hàm muốn có tác dụng bên trong hàm ta dùng từ khóa nào?;global.~def.~len().~int().;global.;F1;Viết và thực hiện được một vài chương trình có sử dụng: hằng, biến, các cấu trúc điều khiển, các toán tử, các kiểu dữ liệu chuẩn, mảng và các câu lệnh vào-ra. Qua đó phát triển được năng lực giải quyết vấn đề và sáng tạo, rèn luyện được phẩm chất chăm chỉ, kiên trì và cẩn thận trong học và tự học.~~~~~~
